Fecha,SKU_1,SKU_2,SKU_3,SKU_4,SKU_5,SKU_6,SKU_7,SKU_8,SKU_9,SKU_10,SKU_11,SKU_12,SKU_13,SKU_14,SKU_15,SKU_16,SKU_17,SKU_18,SKU_19,SKU_20,SKU_21,SKU_22,SKU_23,SKU_24,SKU_25,SKU_26,SKU_27,SKU_28,SKU_29,SKU_30,SKU_31,SKU_32,SKU_33,SKU_34,SKU_35,SKU_36,SKU_37,SKU_38,SKU_39,SKU_40,SKU_41,SKU_42,SKU_43,SKU_44,SKU_45,SKU_46
2024-02-01,7526,2914,2116,4584,4029,4679,388,696,1073,2078,1410,15803,1831,1616,986,1452,3917,1465,3316,4876,1953,2164,3281,3115,4334,13151,27962,1000,1995,2881,28752,1755,882,2258,4855,12532,4543,5256,1443,3723,4849,1675,8179,2384,1559,487
2024-03-01,9055,3250,2005,4793,3641,5069,359,656,1272,2527,1853,19831,1806,1572,1092,1380,4000,1402,3427,4916,2048,2223,3340,3280,5131,11689,28195,1123,1983,3337,25959,2312,1056,2736,4536,13961,4924,5974,1394,3328,5020,2019,9058,2274,1600,574
2024-04-01,8796,3094,2491,5082,4116,5083,401,666,1299,2189,1470,17169,1848,1484,1142,1412,3689,1464,3296,5376,2000,2426,3668,3278,5280,13250,26784,1137,2174,2796,30603,2065,842,3157,4771,13202,4494,5358,1520,3640,5643,2058,9311,2397,1581,517
2024-05-01,7677,3855,2134,4297,4197,4513,401,617,974,2464,1611,16467,1676,1543,981,1467,3938,1174,3270,4827,2422,2558,3913,2629,4514,11452,28744,1261,2058,3324,23942,2439,782,2886,5054,11440,3855,5827,1655,3648,5431,1966,8031,2273,1598,613
2024-06-01,8908,3126,2155,4883,3941,4596,345,559,1177,2441,1668,20970,1810,1464,1115,1310,3846,1368,3249,3997,1947,2646,3120,2890,5218,12114,27707,1191,1714,2794,27119,2492,828,2918,4424,15155,4573,5020,1427,3498,4386,1923,7805,2101,1510,552
2024-07-01,9073,3357,1849,5253,4146,4824,343,547,1080,2194,1340,16005,1723,1513,902,1310,4076,1362,3111,4581,1803,1732,3475,2475,4698,11080,24380,997,1619,2548,27693,1838,845,2750,4312,13491,4259,5077,1357,2747,5164,1883,6935,2105,1589,572
2024-08-01,7065,2960,1968,4510,3293,4998,334,567,930,2340,1224,15837,1921,1606,1086,1451,3583,1284,3457,4201,1892,2276,3554,2715,4336,10548,21577,968,1868,2530,26808,2045,794,2266,3501,11664,4517,4885,1465,3010,4272,1933,5782,1943,1357,526
2024-09-01,7001,2708,1994,4357,3432,4023,306,605,1119,2551,1334,18064,1723,1621,876,1255,3193,1206,2989,4555,1876,2174,3523,2538,4336,10142,24538,916,1144,2220,26713,2064,769,2395,4284,10265,4496,5262,1309,2855,4051,1483,6646,1914,1167,508
2024-10-01,7192,2988,1608,4392,3650,4348,328,615,711,2677,1313,16621,1593,1486,787,1050,2954,1143,3480,3534,1719,2103,3228,3026,4695,8712,25543,911,1811,2222,28943,1912,766,2418,3927,11255,3368,5055,1470,2684,4700,1743,7942,1241,1345,467
2024-11-01,7325,2633,1727,4795,3670,4974,307,561,1250,2374,1248,15731,1548,1238,908,1071,3644,1019,2896,4298,2049,2310,3476,2735,4360,10239,24073,1051,1717,2956,25873,2176,683,2888,4345,9625,4063,4204,1376,3460,4577,1704,7818,1892,1310,505
2024-12-01,6789,3314,1782,4767,3373,5005,367,592,1195,2294,1378,17570,1664,1831,886,1423,3600,1402,2842,4119,1943,2392,3689,2914,5151,12116,24053,1054,1724,2899,26138,2255,721,2785,4953,11282,4736,5546,1342,3125,4336,1866,6622,1928,1378,495
